,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
95,marketindicespopulationdemographicsage_household_underage18_percentage6to8,0.007881207973918272,4.2820459510004305,3.252684060186769e-05,-0.000396209151942895,6.805339199082867e-05,0.0004539976491093218,0.0,0.0
43,spending_categoryspend_gifts,0.007909677764303203,28.75091265135647,1.159714291992378e-05,-1.3196800699334407e-05,1.2264982423960747e-05,1.8099584572122643e-05,0.0,0.0
52,spending_categoryspend_stationery,0.007929297151015247,89.44522218708174,1.821801682418417e-05,-0.00045552462831334695,1.9449128088261765e-05,0.0004570927912388721,0.0,0.0
96,marketindicespopulationdemographicsage_household_underage18_percentage9to11,0.0087955961904215,4.136589458972429,4.509426990553358e-05,-8.290389290050961e-05,4.509426990553358e-05,8.290389290050961e-05,0.0,0.0
80,marketindicespopulationdemographicsage_agehispanic_percentage65plus,0.009099383313411352,4.935078601090446,2.1915478455349578e-05,-1.127108786456065e-05,2.1915478455349578e-05,2.3303318494917367e-05,0.0,0.0
94,marketindicespopulationdemographicsage_household_underage18_percentage6to11,0.009423125980506153,7.238307734769318,7.768092561571908e-05,-6.539587795988172e-05,0.00017491400126810235,9.561254630161846e-05,0.0,0.0
10,democratic_acxiom,0.009638669116018262,0.24611202441366703,0.0,0.0,0.0,0.0,0.0,0.0
76,marketindicespopulationdemographicsage_ageblack_percentage18to64,0.009966691861411173,16.4901301071363,6.901615738092623e-05,-0.00023998893694728653,6.901615738092623e-05,0.00023998893694728653,0.0,0.0
89,marketindicespopulationdemographicsage_household_underage18_percentage12to14,0.010582245310934128,4.575062505310919,-3.991464346089633e-05,5.939344097623466e-05,7.842238884281584e-05,0.00015643210241976152,0.0,0.0
49,spending_categoryspend_specialtyfood,0.010638857214652055,27.754936336656634,7.705085002909976e-06,0.00018245595469932208,2.246817879766753e-05,0.0002638199985775529,0.0,0.0
1,antiques_acxiom,0.010853165842207682,0.21981375498159536,0.0,0.0,0.0,0.0,0.0,0.0
73,marketindicespopulationdemographicsage_age18plus_percentage45to54,0.01086075420658511,4.649736182498649,4.047179891569975e-05,-7.28726285950602e-05,0.0001080212625625341,0.00012384549795156998,0.0,0.0
9,crafts_acxiom,0.01087772922807471,0.24979447358937418,0.0,0.0,0.0,0.0,0.0,0.0
41,spending_categoryspend_computinghomeoffice,0.011018831586430482,14.085422307942633,3.2989661057885886e-05,-0.00011905062771677165,3.2989661057885886e-05,0.00011905062771677165,0.0,0.0
44,spending_categoryspend_health,0.011186160479076666,111.30520467878138,-0.00011227853922095242,-0.00026870115462004505,0.00013861639110990723,0.0002971779968204342,0.0,0.0
67,etechdemographics_assimilationindex,0.011749701324331958,0.43133570807507715,0.0,0.0,0.0,0.0,0.0,0.0
53,spending_categoryspend_travel,0.011845560729606483,90.72822404874094,2.5391454435420427e-05,-5.63904171636673e-06,2.5391454435420427e-05,5.63904171636673e-06,0.0,0.0
47,spending_categoryspend_linens,0.011899795496160473,51.55847863217198,-2.5378398788126914e-06,5.124866773130574e-06,2.5378398788126914e-06,5.124866773130574e-06,0.0,0.0
15,home_office_acxiom,0.011940888025936555,0.24311270662162263,0.0,0.0,0.0,0.0,0.0,0.0
90,marketindicespopulationdemographicsage_household_underage18_percentage15to17,0.012491741086810587,4.5078503550779585,9.899567659411893e-05,-0.00011970461911173543,9.899567659411893e-05,0.00011970461911173543,0.0,0.0
74,marketindicespopulationdemographicsage_age18plus_percentage55to64,0.012877581292145014,4.1825401373232,5.730831433765655e-05,-3.4663534590957036e-05,9.030034040598106e-05,7.613015921685661e-05,0.0,0.0
12,grandchildren_acxiom,0.012956251951613299,0.12836726481056304,0.0,0.0,0.0,0.0,0.0,0.0
22,protestant_acxiom,0.012971037847941286,0.2376179496433201,0.0,0.0,0.0,0.0,0.0,0.0
31,person_basicdemographics_age,0.014059701159594136,7.510425731982843,4.516790804106757e-05,-1.8415701568827923e-05,0.00022220058259009325,9.753550927501644e-05,0.0,0.0
19,music_acxiom,0.014211799666669857,0.13385159010579412,0.0,0.0,0.0,0.0,0.0,0.0
75,marketindicespopulationdemographicsage_age25plus_averageage,0.014264585230243113,9.284892161583501,-0.00011404754609263199,-0.0003424183931350763,0.00017557866776522015,0.0004379674447037468,0.0,0.0
88,marketindicespopulationdemographicsage_white_percentunderage18,0.014384939664669485,4.842721208400482,-7.473789781256034e-06,-1.8633684922740044e-06,4.9926278777805856e-05,4.7104035191110146e-05,0.0,0.0
81,marketindicespopulationdemographicsage_total_averageage,0.014536439326833144,7.608941938309323,-3.6528890087822315e-05,0.00013362578916629441,4.2695861967913865e-05,0.0001518978970271299,0.0,0.0
7,computer_games_acxiom,0.014976362301865139,0.13385159010579412,0.0,0.0,0.0,0.0,0.0,0.0
97,marketindicespopulationdemographicsage_household_underage18_percentunderage3,0.015067885178290805,5.039501035731964,-0.00011795712924478238,0.00025353562217877073,0.00013894177075916638,0.00029934404038842925,0.0,0.0
66,spending_weekssincelastonlineorder,0.015112762150331296,92.91418336910046,-0.0002535432067120271,-0.0008500141022504946,0.0014224200708211447,0.0010403149096528993,0.0,0.0
72,marketindicespopulationdemographicsage_age18plus_percentage35to44,0.015167255372011149,4.58390518019943,-0.004228138822159882,0.003677542573609527,0.004342082574363937,0.003754660033884083,0.0,1.4184803864767705e-05
34,household_basicdemographics_lengthofresidence,0.01566030911604859,2.848221306019329,0.00019259209169639345,-0.0001430175252789763,0.00035925178176758474,0.0002562212986171322,0.0,0.0
92,marketindicespopulationdemographicsage_household_underage18_percentage3to5,0.015821812867365663,4.475898753253821,0.00013208900492819671,-0.00025156393401455694,0.0001366627203082958,0.0002583049008846801,0.0,0.0
