Respondent,Assigned Segment,I always choose higher end hotels,On vacation I pride myself on discovering new places and things my friends have not seen before,I choose more expensive hotels and accommodations to make sure I get the best service and amenities,It is important for me to be in a luxurious setting and to be pampered on vacation,I like to immerse myself in the local culture when on vacation,The difference between luxury and standard hotels just is not big enough to justify the cost,I always pay more for a higher class of room on my vacations,I would rather spend as little as possible on accommodations so I have more money to spend on other parts of my vacation,I think spending more for unique experiences is part of what makes a vacation special,I like to go on vacations that are off the beaten path,Cheap + Comfy,Cheap + Curious,Curious,Comfy,Craver,Caviar
494771,Craver,4,5,4,4,5,4,3,5,5,4,86.95,88.79,98.95,95.49,103.03,96.18
494769,Curious,2,5,2,5,5,5,2,4,2,3,63.41,63.56,65.48,63.69,62.21,56.38
494767,Caviar,5,4,5,5,4,1,5,2,5,3,69.82,61.80,85.41,89.09,96.98,99.75
494766,Craver,3,3,3,4,4,4,5,3,5,4,70.52,66.71,77.80,78.95,80.77,78.59
494765,Cheap + Curious,2,4,2,2,4,5,1,4,5,5,62.69,67.22,63.59,57.25,51.77,46.34
494764,Cheap + Curious,2,5,2,2,5,3,2,4,3,5,55.33,59.92,58.63,52.37,47.35,44.30
494763,Curious,3,4,3,4,4,4,2,3,4,3,60.97,58.39,64.93,64.41,62.68,60.62
494762,Comfy,3,3,3,3,3,3,3,2,4,3,47.49,40.96,49.42,51.60,45.57,48.12
494761,Comfy,3,4,3,4,3,3,3,4,3,4,56.58,52.12,60.51,61.67,59.32,57.77
494760,Craver,5,5,5,5,5,3,3,3,4,3,79.66,75.92,93.96,94.19,102.88,100.73
494759,Curious,3,5,2,3,5,5,2,5,5,4,77.90,83.40,83.53,77.23,78.69,70.39
494758,Curious,3,4,3,4,4,2,3,2,4,4,53.40,50.16,60.28,59.98,58.57,60.02
494757,Caviar,5,4,4,3,3,1,3,3,3,4,52.37,45.30,60.59,62.66,61.65,64.63
494756,Craver,4,3,5,4,4,4,3,3,4,3,69.59,62.58,77.18,79.98,81.67,81.06
494755,Caviar,5,4,5,5,3,1,5,1,5,2,61.35,50.20,74.82,80.65,86.05,91.29
494754,Curious,3,4,3,3,4,3,3,3,4,5,60.38,59.57,66.73,64.52,63.02,61.82
494753,Caviar,4,4,5,4,3,3,4,1,4,4,62.32,54.35,72.49,75.28,77.27,80.04
494752,Caviar,4,4,4,3,3,2,4,2,4,3,54.14,47.00,61.52,64.00,62.65,66.04
494750,Caviar,3,5,4,4,4,2,4,3,3,4,60.37,56.98,69.69,69.83,71.17,71.51
494746,Comfy,3,2,4,5,2,4,1,3,4,3,51.38,41.48,51.52,56.46,51.22,51.56
494744,Caviar,5,5,5,5,5,1,5,1,5,5,76.74,73.22,96.91,96.50,107.86,109.61
494743,Caviar,5,5,5,3,5,1,5,1,5,5,72.29,70.07,90.66,88.79,96.66,99.56
494742,Cheap + Curious,2,5,2,2,4,3,2,3,3,4,46.86,48.33,48.03,43.93,36.42,35.83
494741,Caviar,5,4,5,5,4,2,4,1,3,3,61.89,51.88,74.10,78.70,83.16,86.89
494740,Caviar,4,4,4,5,4,1,4,2,4,3,57.85,50.77,68.79,71.76,74.73,77.72
494739,Craver,5,5,5,5,5,4,5,1,5,5,89.77,86.95,108.45,107.61,120.24,118.05
494738,Craver,3,5,3,5,5,3,3,2,4,3,64.25,62.87,73.17,71.89,74.57,73.38
